language,t2i.recall@1,t2i.recall@5,t2i.recall@10,i2t.recall@1,i2t.recall@5,i2t.recall@10,t2i.ndcg@20,i2t.ndcg@20,meta
ar,0.233,0.461,0.567,0.392,0.646,0.745,0.652,0.547,google
ar,0.220,0.438,0.550,0.369,0.625,0.725,0.624,0.508,nllb
ar,0.227,0.448,0.556,0.376,0.629,0.736,0.642,0.538,bing
de,0.323,0.578,0.680,0.509,0.755,0.837,0.813,0.788,google
de,0.305,0.553,0.661,0.495,0.746,0.830,0.789,0.749,nllb
de,0.324,0.575,0.680,0.509,0.761,0.842,0.816,0.785,bing
en,0.378,0.635,0.735,0.535,0.780,0.864,1.000,1.000,google
en,0.378,0.635,0.735,0.535,0.780,0.864,1.000,1.000,bing
en,0.378,0.635,0.735,0.535,0.780,0.864,1.000,1.000,nllb
es,0.327,0.583,0.691,0.492,0.743,0.828,0.850,0.779,google
es,0.328,0.585,0.692,0.497,0.748,0.832,0.854,0.778,bing
es,0.321,0.573,0.680,0.487,0.739,0.829,0.841,0.757,nllb
fa,0.265,0.506,0.615,0.432,0.688,0.793,0.719,0.633,google
fa,0.203,0.415,0.522,0.368,0.625,0.729,0.584,0.495,nllb
fa,0.251,0.489,0.597,0.425,0.683,0.785,0.698,0.611,bing
fr,0.320,0.572,0.680,0.468,0.720,0.810,0.831,0.738,google
fr,0.303,0.553,0.665,0.458,0.702,0.800,0.807,0.708,nllb
fr,0.317,0.570,0.677,0.470,0.718,0.810,0.829,0.740,bing
he,0.249,0.479,0.585,0.389,0.641,0.745,0.676,0.562,google
he,0.247,0.478,0.585,0.398,0.649,0.746,0.675,0.563,bing
he,0.217,0.433,0.542,0.346,0.604,0.713,0.619,0.495,nllb
hi,0.210,0.430,0.543,0.362,0.621,0.724,0.625,0.499,bing
hi,0.204,0.422,0.533,0.348,0.603,0.712,0.609,0.483,google
hi,0.206,0.423,0.534,0.352,0.612,0.717,0.614,0.487,nllb
hy,0.057,0.144,0.204,0.117,0.262,0.357,0.205,0.159,bing
hy,0.061,0.158,0.221,0.129,0.285,0.377,0.224,0.173,google
hy,0.049,0.126,0.181,0.109,0.241,0.330,0.184,0.146,nllb
id,0.269,0.513,0.626,0.431,0.695,0.785,0.730,0.647,google
id,0.267,0.515,0.629,0.432,0.699,0.790,0.738,0.653,nllb
id,0.269,0.515,0.627,0.432,0.693,0.789,0.733,0.649,bing
it,0.318,0.572,0.675,0.466,0.725,0.811,0.816,0.713,google
it,0.317,0.572,0.676,0.469,0.719,0.812,0.819,0.709,bing
it,0.305,0.556,0.662,0.452,0.703,0.791,0.798,0.681,nllb
ja,0.287,0.533,0.644,0.411,0.664,0.766,0.763,0.613,bing
ja,0.286,0.534,0.646,0.423,0.685,0.775,0.762,0.628,google
ja,0.248,0.478,0.590,0.371,0.621,0.729,0.685,0.542,nllb
ko,0.221,0.448,0.560,0.292,0.545,0.664,0.641,0.433,nllb
ko,0.256,0.496,0.609,0.361,0.618,0.725,0.708,0.519,bing
ko,0.254,0.498,0.608,0.353,0.603,0.713,0.708,0.511,google
pl,0.302,0.552,0.659,0.440,0.693,0.783,0.780,0.667,bing
pl,0.271,0.512,0.623,0.401,0.659,0.757,0.729,0.599,nllb
pl,0.303,0.552,0.660,0.448,0.690,0.780,0.783,0.670,google
pt,0.319,0.573,0.681,0.466,0.713,0.806,0.836,0.736,bing
pt,0.311,0.565,0.671,0.448,0.703,0.793,0.823,0.709,nllb
pt,0.319,0.574,0.684,0.469,0.717,0.806,0.836,0.729,google
ru,0.307,0.561,0.668,0.445,0.706,0.796,0.792,0.678,bing
ru,0.282,0.523,0.638,0.409,0.675,0.763,0.747,0.608,nllb
ru,0.308,0.560,0.668,0.442,0.701,0.793,0.792,0.676,google
th,0.238,0.462,0.572,0.393,0.637,0.742,0.651,0.545,google
th,0.175,0.366,0.468,0.306,0.549,0.659,0.517,0.414,nllb
th,0.233,0.462,0.572,0.388,0.645,0.747,0.651,0.543,bing
tr,0.249,0.480,0.590,0.417,0.671,0.773,0.690,0.587,nllb
tr,0.256,0.493,0.605,0.423,0.679,0.779,0.704,0.614,bing
tr,0.260,0.500,0.612,0.432,0.676,0.782,0.709,0.620,google
uk,0.273,0.518,0.627,0.447,0.705,0.798,0.728,0.649,google
uk,0.269,0.510,0.619,0.446,0.703,0.800,0.720,0.640,bing
uk,0.238,0.470,0.581,0.404,0.656,0.753,0.664,0.570,nllb
vi,0.265,0.507,0.618,0.448,0.696,0.788,0.716,0.648,google
vi,0.242,0.474,0.585,0.426,0.668,0.763,0.673,0.598,nllb
vi,0.255,0.496,0.605,0.435,0.689,0.780,0.702,0.642,bing
zh,0.297,0.546,0.652,0.483,0.724,0.813,0.773,0.684,google
zh,0.295,0.544,0.651,0.479,0.724,0.812,0.776,0.685,bing
zh,0.227,0.448,0.558,0.382,0.645,0.748,0.645,0.542,nllb
