language,t2i.recall@1,t2i.recall@5,t2i.recall@10,i2t.recall@1,i2t.recall@5,i2t.recall@10,t2i.ndcg@20,i2t.ndcg@20
ar,0.317,0.578,0.692,0.350,0.610,0.717,0.868,0.718
de,0.351,0.622,0.733,0.388,0.662,0.761,0.927,0.808
en,0.377,0.650,0.759,0.432,0.690,0.785,1.000,1.000
es,0.356,0.628,0.737,0.396,0.663,0.766,0.939,0.845
fa,0.288,0.546,0.662,0.321,0.578,0.683,0.831,0.655
fr,0.354,0.626,0.733,0.397,0.659,0.761,0.932,0.819
he,0.267,0.518,0.635,0.295,0.537,0.653,0.791,0.597
hi,0.313,0.579,0.696,0.347,0.611,0.719,0.879,0.715
hy,0.220,0.447,0.560,0.244,0.466,0.575,0.691,0.494
id,0.307,0.570,0.686,0.342,0.598,0.705,0.870,0.716
it,0.349,0.621,0.731,0.385,0.657,0.756,0.930,0.826
ja,0.326,0.592,0.706,0.360,0.620,0.723,0.885,0.727
ko,0.315,0.578,0.692,0.356,0.613,0.718,0.869,0.710
pl,0.336,0.601,0.713,0.371,0.631,0.742,0.897,0.750
pt,0.327,0.596,0.710,0.365,0.626,0.734,0.897,0.766
ru,0.339,0.609,0.720,0.381,0.639,0.742,0.906,0.762
th,0.287,0.546,0.660,0.320,0.576,0.687,0.822,0.643
tr,0.330,0.596,0.708,0.370,0.633,0.740,0.898,0.761
uk,0.306,0.567,0.681,0.340,0.594,0.707,0.851,0.679
vi,0.283,0.539,0.655,0.324,0.565,0.678,0.818,0.658
zh,0.322,0.590,0.705,0.350,0.613,0.718,0.880,0.708
all,0.318 ± 0.035,0.581 ± 0.045,0.694 ± 0.043,0.354 ± 0.040,0.611 ± 0.050,0.718 ± 0.046,0.875 ± 0.064,0.731 ± 0.102
google,0.315 ± 0.035,0.578 ± 0.044,0.691 ± 0.043,0.351 ± 0.040,0.607 ± 0.052,0.712 ± 0.049,0.869 ± 0.063,0.721 ± 0.102
bing,0.314 ± 0.036,0.577 ± 0.047,0.689 ± 0.046,0.350 ± 0.042,0.605 ± 0.053,0.712 ± 0.050,0.869 ± 0.066,0.723 ± 0.104
nllb,0.324 ± 0.035,0.589 ± 0.045,0.702 ± 0.043,0.362 ± 0.040,0.622 ± 0.046,0.729 ± 0.040,0.888 ± 0.064,0.749 ± 0.103
